📊 Circuit Breaker 실시간 메트릭 수집 시작
🔗 Target: T1 localhost:8080/api/circuit-breaker/status
📈 실시간 메트릭 수집 시작 (5초 간격)
[2025-08-20 21:15:52] State: CLOSED | Failures: 0 | Requests: 168 | Success: 100.00% | Avg: 3.99ms
[2025-08-20 21:15:57] State: CLOSED | Failures: 0 | Requests: 169 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:02] State: CLOSED | Failures: 0 | Requests: 169 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:07] State: CLOSED | Failures: 0 | Requests: 169 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:12] State: CLOSED | Failures: 0 | Requests: 170 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:17] State: CLOSED | Failures: 0 | Requests: 170 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:22] State: CLOSED | Failures: 0 | Requests: 170 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:27] State: CLOSED | Failures: 0 | Requests: 171 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:32] State: CLOSED | Failures: 0 | Requests: 171 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:37] State: CLOSED | Failures: 0 | Requests: 171 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:42] State: CLOSED | Failures: 0 | Requests: 172 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:47] State: CLOSED | Failures: 0 | Requests: 172 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:52] State: CLOSED | Failures: 0 | Requests: 172 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:16:57] State: CLOSED | Failures: 0 | Requests: 173 | Success: 100.00% | Avg: 3.99ms
[2025-08-20 21:17:02] State: CLOSED | Failures: 0 | Requests: 173 | Success: 100.00% | Avg: 3.99ms
[2025-08-20 21:17:07] State: CLOSED | Failures: 0 | Requests: 173 | Success: 100.00% | Avg: 3.99ms
[2025-08-20 21:17:12] State: CLOSED | Failures: 0 | Requests: 174 | Success: 100.00% | Avg: 3.99ms
[2025-08-20 21:17:17] State: CLOSED | Failures: 0 | Requests: 174 | Success: 100.00% | Avg: 3.99ms
[2025-08-20 21:17:22] State: CLOSED | Failures: 0 | Requests: 174 | Success: 100.00% | Avg: 3.99ms
[2025-08-20 21:17:27] State: CLOSED | Failures: 0 | Requests: 175 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:17:32] State: CLOSED | Failures: 0 | Requests: 175 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:17:37] State: CLOSED | Failures: 0 | Requests: 175 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:17:43] State: CLOSED | Failures: 0 | Requests: 176 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:17:48] State: CLOSED | Failures: 0 | Requests: 176 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:17:53] State: CLOSED | Failures: 0 | Requests: 176 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:17:58] State: CLOSED | Failures: 0 | Requests: 177 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:18:03] State: CLOSED | Failures: 0 | Requests: 177 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:18:08] State: CLOSED | Failures: 0 | Requests: 177 | Success: 100.00% | Avg: 3.98ms
[2025-08-20 21:18:13] State: CLOSED | Failures: 0 | Requests: 178 | Success: 100.00% | Avg: 3.97ms
[2025-08-20 21:18:18] State: CLOSED | Failures: 0 | Requests: 178 | Success: 100.00% | Avg: 3.97ms
[2025-08-20 21:18:23] State: CLOSED | Failures: 0 | Requests: 178 | Success: 100.00% | Avg: 3.97ms
[2025-08-20 21:18:28] State: CLOSED | Failures: 0 | Requests: 179 | Success: 100.00% | Avg: 3.96ms
[2025-08-20 21:18:33] State: CLOSED | Failures: 0 | Requests: 179 | Success: 100.00% | Avg: 3.96ms
[2025-08-20 21:18:38] State: CLOSED | Failures: 0 | Requests: 179 | Success: 100.00% | Avg: 3.96ms
[2025-08-20 21:18:43] State: CLOSED | Failures: 0 | Requests: 180 | Success: 100.00% | Avg: 3.94ms
[2025-08-20 21:18:48] State: CLOSED | Failures: 0 | Requests: 180 | Success: 100.00% | Avg: 3.94ms
[2025-08-20 21:18:53] State: CLOSED | Failures: 0 | Requests: 180 | Success: 100.00% | Avg: 3.94ms
[2025-08-20 21:18:58] State: CLOSED | Failures: 0 | Requests: 181 | Success: 100.00% | Avg: 3.95ms
[2025-08-20 21:19:03] State: CLOSED | Failures: 0 | Requests: 181 | Success: 100.00% | Avg: 3.95ms
[2025-08-20 21:19:08] State: CLOSED | Failures: 0 | Requests: 181 | Success: 100.00% | Avg: 3.95ms
[2025-08-20 21:19:13] State: CLOSED | Failures: 0 | Requests: 182 | Success: 100.00% | Avg: 3.94ms
[2025-08-20 21:19:18] State: CLOSED | Failures: 0 | Requests: 182 | Success: 100.00% | Avg: 3.94ms
[2025-08-20 21:19:23] State: CLOSED | Failures: 0 | Requests: 182 | Success: 100.00% | Avg: 3.94ms
[2025-08-20 21:19:28] State: CLOSED | Failures: 0 | Requests: 183 | Success: 100.00% | Avg: 3.93ms
[2025-08-20 21:19:33] State: CLOSED | Failures: 0 | Requests: 183 | Success: 100.00% | Avg: 3.93ms
[2025-08-20 21:19:38] State: CLOSED | Failures: 0 | Requests: 183 | Success: 100.00% | Avg: 3.93ms
[2025-08-20 21:19:43] State: CLOSED | Failures: 0 | Requests: 184 | Success: 100.00% | Avg: 3.92ms
[2025-08-20 21:19:48] State: CLOSED | Failures: 0 | Requests: 184 | Success: 100.00% | Avg: 3.92ms
[2025-08-20 21:19:53] State: CLOSED | Failures: 0 | Requests: 184 | Success: 100.00% | Avg: 3.92ms
[2025-08-20 21:19:58] State: CLOSED | Failures: 0 | Requests: 185 | Success: 100.00% | Avg: 3.91ms
[2025-08-20 21:20:03] State: CLOSED | Failures: 0 | Requests: 185 | Success: 100.00% | Avg: 3.91ms
